abbreviation,common_expansion,notes
Wm,William,Common historical given-name abbreviation
Thos,Thomas,Common historical given-name abbreviation
Geo,George,Common historical given-name abbreviation
Chas,Charles,Common historical given-name abbreviation
Jas,James,Common historical given-name abbreviation
Jno,John,Common historical given-name abbreviation
Margt,Margaret,Common historical given-name abbreviation
Eliz,Elizabeth,Common historical given-name abbreviation
